term,meaning,occurrence_count,chapters,source_files,is_aristotelian,genus,differentia,reason,suggested_genus,suggested_differentia,classification_error
quick ratio,also known as the acid test ratio; ratio used to determine a firm’s ability to pay short-term debts using its most liquid assets,1,Liquidity Ratios,osbooks-principles-finance\modules\m00042\index.cnxml,yes,ratio,used to determine a firm’s ability to pay short-term debts using its most liquid assets,,,,
rating agencies (bond rating services),"independent service agencies, such as Fitch, Moody’s, or Standard & Poor’s, that perform the isolated function of credit risk evaluation",1,Risks of Interest Rates and Default,osbooks-principles-finance\modules\m00064\index.cnxml,yes,independent service agencies,that perform the isolated function of credit risk evaluation,,,,
ratios,"numerical values taken from financial statements that are used in formulas to examine financial relationships and create metrics of performance, strengths, weaknesses; help analysts gain insight and meaning",1,What Is Working Capital?,osbooks-principles-finance\modules\m00120\index.cnxml,yes,numerical values taken from financial statements,"that are used in formulas to examine financial relationships and create metrics of performance, strengths, weaknesses; help analysts gain insight and meaning",,,,
real interest rate,the nominal interest rate minus the rate of inflation | a rate of interest that has been adjusted to account for the effects of inflation,2,Interest Rates; Applications of TVM in Finance,osbooks-principles-finance\modules\m00021\index.cnxml; osbooks-principles-finance\modules\m00050\index.cnxml,no,,,no clear genus stated,interest rate,that has been adjusted to account for the effects of inflation,
realized return,the actual return that an investor earns over a given time period through the buying and selling of a security | the total return of an investment that occurs over a particular time period,2,Risks of Interest Rates and Default; Risk and Return to an Individual Asset,osbooks-principles-finance\modules\m00064\index.cnxml; osbooks-principles-finance\modules\m00093\index.cnxml,yes,the actual return,that an investor earns over a given time period through the buying and selling of a security,,,,
recession,the part of the business cycle characterized by contraction,1,Business Cycles and Economic Activity,osbooks-principles-finance\modules\m00020\index.cnxml,yes,the part of the business cycle,characterized by contraction,,,,
reinvestment risk,"the risk that an investor will be unable to reinvest cash flows received from an investment (e.g., coupon payments or interest) at a rate comparable to their current rate of return",1,Risks of Interest Rates and Default,osbooks-principles-finance\modules\m00064\index.cnxml,yes,the risk,"that an investor will be unable to reinvest cash flows received from an investment (e.g., coupon payments or interest) at a rate comparable to their current rate of return",,,,
replacement chain approach,a method of comparing projects of differing lives by repeating shorter projects multiple times until they reach the lifetime of the longest project,1,Choosing between Projects,osbooks-principles-finance\modules\m00103\index.cnxml,yes,a method of comparing projects of differing lives,by repeating shorter projects multiple times until they reach the lifetime of the longest project,,,,
required rate of return,the minimum amount of return that an investor will accept on an investment given the level of risk involved,1,Perpetuities,osbooks-principles-finance\modules\m00052\index.cnxml,yes,the minimum amount of return,that an investor will accept on an investment given the level of risk involved,,,,
required return,the minimum return an investor expects to achieve by investing in a project,1,Dividend Discount Models (DDMs),osbooks-principles-finance\modules\m00068\index.cnxml,yes,the minimum return,an investor expects to achieve by investing in a project,,,,
residual,the difference between an observed y-value and the predicted y-value obtained from the linear regression equation,1,Linear Regression Analysis,osbooks-principles-finance\modules\m00087\index.cnxml,yes,the difference,between an observed y-value and the predicted y-value obtained from the linear regression equation,,,,
retained earnings,"cumulative, undistributed net income or net loss for the business since its inception",1,The Balance Sheet,osbooks-principles-finance\modules\m00032\index.cnxml,yes,"cumulative, undistributed net income or net loss",for the business since its inception,,,,
retirement planning,"the process of determining one’s objectives for retirement, including one’s finances, and developing strategies and tactics to achieve them",1,Annuities,osbooks-principles-finance\modules\m00053\index.cnxml,yes,the process,"of determining one’s objectives for retirement, including one’s finances, and developing strategies and tactics to achieve them",,,,
return on equity,measures the company’s ability to use its invested capital to generate income,1,Profitability Ratios and the DuPont Method,osbooks-principles-finance\modules\m00045\index.cnxml,no,,,no genus stated,a financial ratio,that measures the company’s ability to use its invested capital to generate income,
return on total assets,measures the company’s ability to use its assets successfully to generate a profit,1,Profitability Ratios and the DuPont Method,osbooks-principles-finance\modules\m00045\index.cnxml,no,,,not a category,a financial ratio,that measures the company’s ability to use its assets successfully to generate a profit,
revenue,"inflows or other enhancements of assets of an entity or settlements of its liabilities (or a combination of both) from delivering or producing goods, rendering services, or other activities that constitute the entity’s ongoing major or central operations | inflows or other enhancements of assets of an entity or settlements of liabilities from delivering or producing goods, rendering services, or other activities that constitute the entity’s ongoing major or central operations",2,Cash versus Accrual Accounting; The Income Statement,osbooks-principles-finance\modules\m00025\index.cnxml; osbooks-principles-finance\modules\m00031\index.cnxml,yes,inflows or other enhancements of assets of an entity or settlements of its liabilities (or a combination of both),"from delivering or producing goods, rendering services, or other activities that constitute the entity’s ongoing major or central operations",,,,
revenue recognition,principle stating that a company must recognize revenue in the period in which it is earned; it is not considered earned until a product or service has been provided,1,How Does a Company Recognize a Sale and an Expense?,osbooks-principles-finance\modules\m00027\index.cnxml,yes,principle,stating that a company must recognize revenue in the period in which it is earned; it is not considered earned until a product or service has been provided,,,,
risk premium,the extra return earned by taking on risk,1,The Capital Asset Pricing Model (CAPM),osbooks-principles-finance\modules\m00095\index.cnxml,yes,extra return,earned by taking on risk,,,,
risk-free rate,the reward for lending money when there is no risk of not receiving the principal and interest as promised,1,The Capital Asset Pricing Model (CAPM),osbooks-principles-finance\modules\m00095\index.cnxml,no,,,no clear genus stated,a rate of return,that is the reward for lending money when there is no risk of not receiving the principal and interest as promised,
S corporation,"a closely held corporation that makes a valid election to be taxed under Subchapter S of Chapter 1 of the Internal Revenue Code, which does not require such corporations to pay income taxes and instead taxes owners as individuals",1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,a closely held corporation,"that makes a valid election to be taxed under Subchapter S of Chapter 1 of the Internal Revenue Code, which does not require such corporations to pay income taxes and instead taxes owners as individuals",,,,
sample data,data representing outcomes or measurements collected from a subset or part of a population,1,Measures of Center,osbooks-principles-finance\modules\m00078\index.cnxml,yes,data,representing outcomes or measurements collected from a subset or part of a population,,,,
savings bonds,"debt securities purchased by investors, as a personal investments or as gifts, that the US government issues to pay for certain public or government programs",1,Characteristics of Bonds,osbooks-principles-finance\modules\m00061\index.cnxml,yes,debt securities,"purchased by investors, as a personal investments or as gifts, that the US government issues to pay for certain public or government programs",,,,
scatter plot (or scatter diagram),a graphical display that shows the relationship between a dependent variable and an independent variable,1,Data Visualization and Graphical Displays,osbooks-principles-finance\modules\m00083\index.cnxml,yes,a graphical display,that shows the relationship between a dependent variable and an independent variable,,,,
scatter plot (scatter diagram),graphical display that shows values of the independent variable plotted on the x-axis and values of the dependent variable plotted on the y-axis,1,Linear Regression Analysis,osbooks-principles-finance\modules\m00087\index.cnxml,yes,graphical display,that shows values of the independent variable plotted on the x-axis and values of the dependent variable plotted on the y-axis,,,,
scenario analysis,analysis of how various situations and circumstances would impact the financial forecast,1,Forecasting Cash Flow and Assessing the Value of Growth,osbooks-principles-finance\modules\m00117\index.cnxml,yes,analysis,of how various situations and circumstances would impact the financial forecast,,,,
seasoned equity offering (SEO),a method used by new IPOs to raise capital by offering additional shares of stock to the public,1,Overview of US Financial Markets,osbooks-principles-finance\modules\m00073\index.cnxml,yes,a method,used by new IPOs to raise capital by offering additional shares of stock to the public,,,,
secondary market,a term used in financial markets to represent the purchase or sale of used securities that trade after the initial sale by the offering firm | market for used securities,2,Markets and Participants; Overview of US Financial Markets,osbooks-principles-finance\modules\m00006\index.cnxml; osbooks-principles-finance\modules\m00073\index.cnxml,yes,financial markets,represent the purchase or sale of used securities that trade after the initial sale by the offering firm,,,,
secondary markets,markets where investors buy and sell securities they already own,1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,yes,markets,where investors buy and sell securities they already own,,,,
secretaries of state,"the state officials who head the agencies responsible for, among other functions, the chartering of businesses (usually including partnerships and corporations) that wish to operate within their state and, in most states, for maintaining all records on business activities within the state; also known as secretaries of the commonwealth in Massachusetts, Pennsylvania, and Virginia",1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,state officials,"who head the agencies responsible for, among other functions, the chartering of businesses (usually including partnerships and corporations) that wish to operate within their state and, in most states, for maintaining all records on business activities within the state; also known as secretaries of the commonwealth in Massachusetts, Pennsylvania, and Virginia",,,,
Securities and Exchange Commission (SEC),"a large, independent agency of the United States federal government whose primary purpose is to enforce laws against market manipulation; created following the stock market crash of 1929 to protect investors and the national banking system",1,Role of the Board of Directors,osbooks-principles-finance\modules\m00013\index.cnxml,yes,"a large, independent agency of the United States federal government",whose primary purpose is to enforce laws against market manipulation; created following the stock market crash of 1929 to protect investors and the national banking system,,,,
Securities Investor Protection Corporation (SIPC),"a nonprofit corporation that provides brokerage customers up to $500,000 coverage for cash and securities held by the firm",1,What Is Finance?,osbooks-principles-finance\modules\m00002\index.cnxml,yes,a nonprofit corporation,"that provides brokerage customers up to $500,000 coverage for cash and securities held by the firm",,,,
sensitivity analysis,analysis of the sensitivity of an output variable to a change in an input variable,1,Forecasting Cash Flow and Assessing the Value of Growth,osbooks-principles-finance\modules\m00117\index.cnxml,no,,,circular,a type of analysis,that examines how an output variable changes in response to a change in an input variable,
shareholder (stockholder),an individual or institution that legally owns one or more shares of the share capital of a public or private corporation; may be referred to as members of a corporation,1,Relationship between Shareholders and Company Management,osbooks-principles-finance\modules\m00012\index.cnxml,yes,an individual or institution,that legally owns one or more shares of the share capital of a public or private corporation; may be referred to as members of a corporation,,,,
Sharpe ratio,"a reward-to-risk measure of portfolio performance, calculated by subtracting the risk-free rate from the average portfolio return and then dividing by the standard deviation of the portfolio",1,Applications in Performance Measurement,osbooks-principles-finance\modules\m00096\index.cnxml,yes,a reward-to-risk measure of portfolio performance,calculated by subtracting the risk-free rate from the average portfolio return and then dividing by the standard deviation of the portfolio,,,,
shelf registration,part of Securities and Exchange Commission (SEC) Rule 415; allows a company to register with the SEC to issue new shares but allows up to two years before issuing the shares,1,Overview of US Financial Markets,osbooks-principles-finance\modules\m00073\index.cnxml,yes,part of Securities and Exchange Commission (SEC) Rule 415,allows a company to register with the SEC to issue new shares but allows up to two years before issuing the shares,,,,
single payment or lump sum,"a single payment or deposit made at one time, as opposed to a number of smaller payments or deposits made in installments",1,Methods for Solving Time Value of Money Problems,osbooks-principles-finance\modules\m00049\index.cnxml,no,,,circular,a payment or deposit,"made at one time, as opposed to a number of smaller payments or deposits made in installments",
sole proprietor (and sole proprietorship),"a form of business that is operated and run by a single individual, known as the sole trader, with no legal distinction between the owner and the business entity",1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,a form of business,"that is operated and run by a single individual, known as the sole trader, with no legal distinction between the owner and the business entity",,,,
solvency,implies that a company can meet its long-term obligations and will likely stay in business in the future,1,Solvency Ratios,osbooks-principles-finance\modules\m00043\index.cnxml,no,,,no clear genus stated,a financial state,in which a company can meet its long-term obligations and will likely stay in business in the future,
special purpose acquisition companies (SPACs),a special form of IPO,1,Overview of US Financial Markets,osbooks-principles-finance\modules\m00073\index.cnxml,no,,,no genus stated,a company,formed for the purpose of raising capital through an IPO to acquire an existing private company,
speculating,"attempting to profit by betting on the uncertain future, knowing that a risk of loss is involved",1,The Importance of Risk Management,osbooks-principles-finance\modules\m00127\index.cnxml,yes,attempting to profit,"by betting on the uncertain future, knowing that a risk of loss is involved",,,,
speculative motive,a reason for holding an amount of cash—to be able to take advantage of investment opportunities,1,Cash Management,osbooks-principles-finance\modules\m00122\index.cnxml,yes,a reason for holding an amount of cash,to be able to take advantage of investment opportunities,,,,
spot exchange rate,the price to immediately buy one currency in terms of another currency,1,Foreign Exchange Rates,osbooks-principles-finance\modules\m00022\index.cnxml,yes,the price,to immediately buy one currency in terms of another currency,,,,
spot rate,the current market exchange rate,1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,no,,,circular,an exchange rate,that is current and market-determined,
stakeholder,a person with an interest or concern in a business,1,Relationship between Shareholders and Company Management,osbooks-principles-finance\modules\m00012\index.cnxml,yes,a person,with an interest or concern in a business,,,,
standard deviation,a measure of the spread of a data set that indicates how far a typical data value is from the mean,1,Measures of Spread,osbooks-principles-finance\modules\m00079\index.cnxml,yes,a measure of the spread of a data set,that indicates how far a typical data value is from the mean,,,,
statement of cash flows,financial statement listing the cash inflows and cash outflows for the business for a period of time | a financial statement that lists a firm’s cash inflows and outflows over a given period of time,2,The Income Statement; The Importance of Forecasting,osbooks-principles-finance\modules\m00031\index.cnxml; osbooks-principles-finance\modules\m00113\index.cnxml,yes,financial statement,listing the cash inflows and cash outflows for the business for a period of time,,,,
statement of stockholders’ equity,a financial statement that reports the difference between the beginning and ending balances of each of the stockholders’ equity accounts during a given period,1,The Importance of Forecasting,osbooks-principles-finance\modules\m00113\index.cnxml,yes,a financial statement,that reports the difference between the beginning and ending balances of each of the stockholders’ equity accounts during a given period,,,,
stock corporation,"a for-profit organization that issues shares of stock to shareholders (also known as stockholders) to raise capital, with each share representing partial ownership of the corporation and granting shareholders certain ownership rights to shape company policies",1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,a for-profit organization,"that issues shares of stock to shareholders (also known as stockholders) to raise capital, with each share representing partial ownership of the corporation and granting shareholders certain ownership rights to shape company policies",,,,
stock returns,sums the periodic dividend payments plus the change in stock price in a given period divided by the stock price at the beginning of the period,1,Historical Picture of Returns to Stocks,osbooks-principles-finance\modules\m00076\index.cnxml,no,,,no genus stated,a measure,that sums the periodic dividend payments plus the change in stock price in a given period divided by the stock price at the beginning of the period,
stock value,"also called intrinsic value; the fundamental, objective value of a share of stock",1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,no,,,circular,value,of a share of stock that is fundamental and objective,
stockout costs,an opportunity cost (lost revenue) incurred when a customer order cannot be filled because the item is out of stock and the customer goes elsewhere for the product,1,Inventory Management,osbooks-principles-finance\modules\m00124\index.cnxml,yes,an opportunity cost,(lost revenue) incurred when a customer order cannot be filled because the item is out of stock and the customer goes elsewhere for the product,,,,
strike price (exercise price),the price an option holder pays for the underlying asset when exercising the option,1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,yes,the price,an option holder pays for the underlying asset when exercising the option,,,,
structured settlements,"monetary legal settlements that are paid out in installments, such as an annuity, rather than a lump sum cash amount",1,Annuities,osbooks-principles-finance\modules\m00053\index.cnxml,yes,monetary legal settlements,"that are paid out in installments, such as an annuity, rather than a lump sum cash amount",,,,
subscriber,"an initial shareholder of a company at the time of its incorporation whose name appears on the memorandum of association, a legal document prepared in the formation and registration process of a company to define its relationship with shareholders",1,Relationship between Shareholders and Company Management,osbooks-principles-finance\modules\m00012\index.cnxml,yes,an initial shareholder of a company at the time of its incorporation,"whose name appears on the memorandum of association, a legal document prepared in the formation and registration process of a company to define its relationship with shareholders",,,,
supply,"the quantity of a good or service that firms are willing to sell in the market during a given time period, ceteris paribus",1,Microeconomics,osbooks-principles-finance\modules\m00018\index.cnxml,yes,the quantity of a good or service,"that firms are willing to sell in the market during a given time period, ceteris paribus",,,,
supply chain,the network of participants and activities between a company and its suppliers and the company and its customers; exists to distribute a product or to provide a service to the final buyer,1,Inventory Management,osbooks-principles-finance\modules\m00124\index.cnxml,yes,the network of participants and activities,between a company and its suppliers and the company and its customers; exists to distribute a product or to provide a service to the final buyer,,,,
swap,"an agreement between two parties to exchange something, such as their obligations to make specified payment streams",1,Interest Rate Risk,osbooks-principles-finance\modules\m00130\index.cnxml,yes,an agreement between two parties,"to exchange something, such as their obligations to make specified payment streams",,,,
systematic risk,risk that impacts the entire market and cannot be diversified away; also known as market risk,1,Risk and Return to Multiple Assets,osbooks-principles-finance\modules\m00094\index.cnxml,yes,risk,that impacts the entire market and cannot be diversified away,,,,
T-account,a graphic representation of a general ledger account in which each account is visually split into left and right sides,1,Economic Basis for Accrual Accounting,osbooks-principles-finance\modules\m00026\index.cnxml,yes,a graphic representation of a general ledger account,in which each account is visually split into left and right sides,,,,
tangible asset,an asset that has physical substance,1,When Should a Company Capitalize or Expense an Item?,osbooks-principles-finance\modules\m00028\index.cnxml,yes,an asset,that has physical substance,,,,
term risk,the risk of potentially earning lower returns on longer-term bond holdings compared to those potentially available when making several shorter-term investments over the same period of time,1,Risks of Interest Rates and Default,osbooks-principles-finance\modules\m00064\index.cnxml,yes,the risk,of potentially earning lower returns on longer-term bond holdings compared to those potentially available when making several shorter-term investments over the same period of time,,,,
time series graph,"a graphical display used to show measurement data plotted versus time, where time is displayed on the horizontal axis",1,Data Visualization and Graphical Displays,osbooks-principles-finance\modules\m00083\index.cnxml,yes,a graphical display,"used to show measurement data plotted versus time, where time is displayed on the horizontal axis",,,,
time value of money (TMV),the concept that an amount of money is worth more today than the exact same amount of money at some point in the future,1,Now versus Later Concepts,osbooks-principles-finance\modules\m00047\index.cnxml,yes,the concept,that an amount of money is worth more today than the exact same amount of money at some point in the future,,,,
times interest earned (TIE) ratio,measures the company’s ability to pay interest expense on long-term debt incurred,1,Solvency Ratios,osbooks-principles-finance\modules\m00043\index.cnxml,no,,,no genus stated,a financial ratio,that measures the company’s ability to pay interest expense on long-term debt incurred,
total asset turnover,measures the ability of a company to use its assets to generate revenues,1,Operating Efficiency Ratios,osbooks-principles-finance\modules\m00041\index.cnxml,no,,,no genus stated,a financial ratio,that measures the ability of a company to use its assets to generate revenues,
total returns,the sum of all cash flows received from an investment; includes periodic cash flows plus price appreciation or price depreciation,1,Historical Picture of Returns to Bonds,osbooks-principles-finance\modules\m00075\index.cnxml,yes,the sum of all cash flows received from an investment,includes periodic cash flows plus price appreciation or price depreciation,,,,
trade credit,"credit granted to a business, also called accounts payable; allows a business to buy goods and services on account and pay the cash at some point in the future",1,What Is Working Capital?,osbooks-principles-finance\modules\m00120\index.cnxml,yes,credit,"granted to a business, also called accounts payable; allows a business to buy goods and services on account and pay the cash at some point in the future",,,,
trade-off theory,a theory stating that the total value of a levered company is the value of the firm without leverage plus the value of the interest tax shield less financial distress costs,1,Optimal Capital Structure,osbooks-principles-finance\modules\m00110\index.cnxml,yes,a theory,stating that the total value of a levered company is the value of the firm without leverage plus the value of the interest tax shield less financial distress costs,,,,
transaction exposure,the risk that the value of a business’s expected receipts or expenses will change as a result of a change in currency exchange rates,1,Foreign Exchange Rates,osbooks-principles-finance\modules\m00022\index.cnxml,yes,the risk,that the value of a business’s expected receipts or expenses will change as a result of a change in currency exchange rates,,,,
transaction risk,the risk that a change in exchange rates will impact the value of a business’s expected receipts or expenses,1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,yes,the risk,that a change in exchange rates will impact the value of a business’s expected receipts or expenses,,,,
transactional motive,"holding an amount of cash to meet operational expenditures such as payroll, payments to vendors, and loan payments",1,Cash Management,osbooks-principles-finance\modules\m00122\index.cnxml,no,,,no genus stated,a motive for holding cash,"to meet operational expenditures such as payroll, payments to vendors, and loan payments",
translation exposure,the risk that a change in exchange rates will impact the financial statements of a company,1,Foreign Exchange Rates,osbooks-principles-finance\modules\m00022\index.cnxml,yes,the risk,that a change in exchange rates will impact the financial statements of a company,,,,
translation risk,the risk that a change in exchange rates will impact the value of items on a company’s financial statements,1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,yes,the risk,that a change in exchange rates will impact the value of items on a company’s financial statements,,,,
treasurer,"position responsible for monitoring cash flow at a firm and frequently is the contact person for bankers, underwriters, and other outside sources of financing",1,The Role of Finance in an Organization,osbooks-principles-finance\modules\m00003\index.cnxml,yes,position,"responsible for monitoring cash flow at a firm and frequently is the contact person for bankers, underwriters, and other outside sources of financing",,,,
Treasury bills (T-bills),short-term debt obligations of one year or less issued by the US government | short-term debt instruments issued by the federal government and maturing in a year or less,2,Financial Instruments; Overview of US Financial Markets,osbooks-principles-finance\modules\m00008\index.cnxml; osbooks-principles-finance\modules\m00073\index.cnxml,yes,short-term debt obligations,of one year or less issued by the US government,,,,
Treasury bonds,long-term debt obligations issued by the US government characterized by having maturities of greater than 10 years and making periodic interest payments as well as principal payment at maturity | government debt instruments with maturities of 20 or 30 years,2,Financial Instruments; Overview of US Financial Markets,osbooks-principles-finance\modules\m00008\index.cnxml; osbooks-principles-finance\modules\m00073\index.cnxml,yes,long-term debt obligations issued by the US government,characterized by having maturities of greater than 10 years and making periodic interest payments as well as principal payment at maturity,,,,
Treasury investments,"debt obligations such as T-bills (Treasury bills), bonds, and notes issued by the US Department of the Treasury",1,Time Value of Money (TVM) Basics,osbooks-principles-finance\modules\m00048\index.cnxml,no,,,gives examples instead of a genus,debt obligations,issued by the US Department of the Treasury,
Treasury notes,long-term debt obligations issued by the US government characterized by having maturities of 2 to 10 years and making periodic interest payment as well as principal payment at maturity,1,Financial Instruments,osbooks-principles-finance\modules\m00008\index.cnxml,yes,long-term debt obligations issued by the US government,characterized by having maturities of 2 to 10 years and making periodic interest payment as well as principal payment at maturity,,,,
Treasury notes (T-notes),"government debt instruments with maturities of 2, 3, 5, 7, or 10 years",1,Overview of US Financial Markets,osbooks-principles-finance\modules\m00073\index.cnxml,yes,government debt instruments,"with maturities of 2, 3, 5, 7, or 10 years",,,,
Treynor ratio,"a reward-to-risk measure of portfolio performance, calculated by subtracting the risk-free rate from the average portfolio return and then dividing by the beta of the portfolio",1,Applications in Performance Measurement,osbooks-principles-finance\modules\m00096\index.cnxml,yes,a reward-to-risk measure of portfolio performance,calculated by subtracting the risk-free rate from the average portfolio return and then dividing by the beta of the portfolio,,,,
underinvested,describes an insufficient amount of investment or an investment that is earning an insufficient rate of interest,1,Applications of TVM in Finance,osbooks-principles-finance\modules\m00050\index.cnxml,no,,,"descriptive, not a category",a state,where there is an insufficient amount of investment or an investment that is earning an insufficient rate of interest,
unemployed,members of the labor force who are not currently working but are actively seeking a job,1,Macroeconomics,osbooks-principles-finance\modules\m00019\index.cnxml,yes,members of the labor force,who are not currently working but are actively seeking a job,,,,
uninvested,"describes cash that is being held in reserve, is not invested in an account or financial instrument, and is not earning interest or any return",1,Applications of TVM in Finance,osbooks-principles-finance\modules\m00050\index.cnxml,no,,,"descriptive, not a category",cash,"that is being held in reserve, is not invested in an account or financial instrument, and is not earning interest or any return",
unlevered equity,equity in a firm that has no debt outstanding,1,Capital Structure Choices,osbooks-principles-finance\modules\m00109\index.cnxml,yes,equity in a firm,that has no debt outstanding,,,,
US Treasury bills (T-bills),short-term US government debt obligations backed by the Treasury Department with a maturity of one year or less,1,Characteristics of Bonds,osbooks-principles-finance\modules\m00061\index.cnxml,yes,US government debt obligations,backed by the Treasury Department with a maturity of one year or less,,,,
US Treasury note rate,"the interest rate that the US government pays to borrow money for different lengths of time; notes are issued in terms of two, three, five, seven, and 10 years",1,Characteristics of Bonds,osbooks-principles-finance\modules\m00061\index.cnxml,yes,the interest rate,"that the US government pays to borrow money for different lengths of time; notes are issued in terms of two, three, five, seven, and 10 years",,,,
variance,the measure of the spread of data values calculated as the square of the standard deviation,1,Measures of Spread,osbooks-principles-finance\modules\m00079\index.cnxml,yes,the measure of the spread of data values,calculated as the square of the standard deviation,,,,
vertical integration,the merger of a company with its supplier,1,Commodity Price Risk,osbooks-principles-finance\modules\m00128\index.cnxml,yes,the merger of a company,with its supplier,,,,
weighted average cost of capital (WACC),"the average of a firm’s debt and equity costs of capital, weighted by the fractions of the firm’s value that correspond to debt and equity",1,The Concept of Capital Structure,osbooks-principles-finance\modules\m00106\index.cnxml,yes,the average of a firm’s debt and equity costs of capital,weighted by the fractions of the firm’s value that correspond to debt and equity,,,,
weighted mean,a measure of center of a data set in which each data value has a corresponding weighting,1,Measures of Center,osbooks-principles-finance\modules\m00078\index.cnxml,yes,a measure of center of a data set,in which each data value has a corresponding weighting,,,,
working capital,"the resources that are needed to meet the daily, weekly, and monthly operating cash flow needs",1,What Is Working Capital?,osbooks-principles-finance\modules\m00120\index.cnxml,yes,the resources,"that are needed to meet the daily, weekly, and monthly operating cash flow needs",,,,
working capital management,"the development, oversight, and management of a firm’s short-term assets and liabilities",1,What Is Finance?,osbooks-principles-finance\modules\m00002\index.cnxml,yes,"the development, oversight, and management",of a firm’s short-term assets and liabilities,,,,
x-axis,the horizontal axis in a rectangular coordinate system,1,Data Visualization and Graphical Displays,osbooks-principles-finance\modules\m00083\index.cnxml,yes,the horizontal axis,in a rectangular coordinate system,,,,
y-axis,the vertical axis in a rectangular coordinate system,1,Data Visualization and Graphical Displays,osbooks-principles-finance\modules\m00083\index.cnxml,yes,the vertical axis,in a rectangular coordinate system,,,,
yield curve,a line that plots yields (interest rates) of bonds having equal credit quality but differing maturity dates; gives an idea of future interest rate changes and economic activity,1,Using the Yield Curve,osbooks-principles-finance\modules\m00063\index.cnxml,yes,a line,that plots yields (interest rates) of bonds having equal credit quality but differing maturity dates; gives an idea of future interest rate changes and economic activity,,,,
yield to maturity (YTM),the total return anticipated on a bond if the investment is held until maturity,1,Characteristics of Bonds,osbooks-principles-finance\modules\m00061\index.cnxml,yes,the total return,anticipated on a bond if the investment is held until maturity,,,,
z-score (or z-value),"a measure of the position of a data value in the data set, calculated by subtracting the mean from the data value and then dividing the difference by the standard deviation",1,Measures of Position,osbooks-principles-finance\modules\m00080\index.cnxml,yes,a measure,"of the position of a data value in the data set, calculated by subtracting the mean from the data value and then dividing the difference by the standard deviation",,,,
zero-coupon bonds,bonds that are issued at a deep discount from face value and offer no interest or coupon payments,1,Characteristics of Bonds,osbooks-principles-finance\modules\m00061\index.cnxml,yes,bonds,that are issued at a deep discount from face value and offer no interest or coupon payments,,,,
